release_date,original_title,vote_average
1995-03-31,Tommy Boy,6.8
1994-09-13,Vanya on 42nd Street,6.1
1995-04-28,The Underneath,5.6
1995-02-24,The Walking Dead,6.6
1993-12-17,What's Eating Gilbert Grape,7.5
1995-08-04,Virtuosity,5.4
1995-04-21,While You Were Sleeping,6.5
1994-11-04,The War,6.3
1994-09-07,Double Happiness,5.5
1994-09-29,Muriel's Wedding,6.9
1995-08-18,The Baby-Sitters Club,5.3
1994-02-04,Ace Ventura: Pet Detective,6.4
1994-05-31,"The Adventures of Priscilla, Queen of the Desert",7.2
1994-04-01,Backbeat,6.2
1992-09-02,Bitter Moon,7.0
1994-10-14,Bullets Over Broadway,7.0
1994-08-03,Clear and Present Danger,6.4
1994-07-20,The Client,6.4
1994-08-12,"Corrina, Corrina",6.4
1994-05-13,Crooklyn,6.7
1994-05-11,The Crow,7.3
1994-12-02,Cobb,6.1
1994-05-26,The Flintstones,5.0
1994-07-06,Forrest Gump,8.2
1994-03-09,Four Weddings and a Funeral,6.6
1995-01-11,Higher Learning,6.4
1994-10-14,I Like It Like That,6.3
1994-06-29,I Love Trouble,5.3
1994-07-29,It Could Happen to You,6.1
1994-12-23,The Jungle Book,5.9
1993-09-11,Die Macht der Bilder: Leni Riefenstahl,7.3
1994-06-23,The Lion King,8.0
1993-12-01,Little Buddha,6.0
1994-10-13,New Nightmare,6.4
1994-07-29,The Mask,6.6
1994-05-20,Maverick,6.6
1994-09-07,Mrs. Parker and the Vicious Circle,6.3
1994-03-18,The Naked Gun 33⅓: The Final Insult,6.4
1994-03-18,The Paper,6.1
1994-02-18,Reality Bites,6.5
1993-07-08,Red Rock West,6.4
1994-12-19,Ri¢hie Ri¢h,5.4
1994-12-01,Safe Passage,4.9
1994-09-30,The River Wild,6.1
1994-06-09,Speed,6.8
1994-12-16,Speechless,5.5
1994-09-15,Timecop,5.5
1994-07-14,True Lies,6.8
1994-04-29,When a Man Loves a Woman,6.0
1994-06-17,Wolf,6.0
1994-06-24,Wyatt Earp,6.5
1995-01-20,Bad Company,4.9
1994-12-22,A Man of No Importance,6.5
1994-09-15,S.F.W.,6.1
1994-11-23,A Low Down Dirty Shame,6.0
1994-09-30,"Boys Life: Three Stories of Love, Lust, and Liberation",2.0
1994-01-01,Le colonel Chabert,5.9
1965-08-06,"Faster, Pussycat! Kill! Kill!",6.5
1994-09-28,Jason's Lyric,5.9
1993-12-10,The Secret Adventures of Tom Thumb,7.1
1994-12-22,Street Fighter,4.1
1995-09-15,Coldblooded,6.7
1997-12-31,Desert Winds,0.0
1995-05-13,Fall Time,6.3
1995-01-20,The Fear,3.4
1995-10-20,Frank and Ollie,7.5
1995-10-24,Girl in the Cadillac,10.0
1995-05-03,Homage,0.0
1995-11-21,Mirage,4.0
1996-05-03,Open Season,0.0
1995-05-26,Dos Crímenes,5.0
1995-03-01,Brother Minister: The Assassination of Malcolm X,4.0
1994-11-29,Highlander III: The Sorcerer,4.5
1995-02-24,Federal Hill,5.0
1994-12-12,In the Mouth of Madness,7.1
1994-02-25,8 Seconds,7.2
1994-03-23,Above the Rim,6.7
1993-11-19,Addams Family Values,6.5
1994-04-27,Martin Lawrence: You So Crazy,4.5
1993-09-17,The Age of Innocence,7.0
1994-08-05,Airheads,5.8
1994-01-07,The Air Up There,5.1
1993-07-22,Another Stakeout,4.9
1994-04-22,Bad Girls,4.6
1994-07-29,Barcelona,6.6
1994-05-06,Being Human,5.0
1993-10-15,The Beverly Hillbillies,5.0
1994-05-24,Beverly Hills Cop III,5.5
1994-07-29,Black Beauty,6.6
1994-01-26,Blink,6.3
1994-07-01,Blown Away,6.0
1994-02-18,Blue Chips,5.7
1994-09-16,Blue Sky,6.1
1993-06-09,Body Snatchers,5.8
1993-06-18,Boxing Helena,4.5
1993-09-14,A Bronx Tale,7.4
1994-01-07,Cabin Boy,4.9
1993-09-03,Calendar Girl,3.7
1993-11-10,Carlito's Way,7.7
1994-06-10,City Slickers II: The Legend of Curly's Gold,4.9
1994-05-06,Clean Slate,5.7
1993-05-28,Cliffhanger,6.1
1993-07-23,Coneheads,4.8
1994-08-19,Color of Night,5.4
1994-04-15,Cops & Robbersons,5.0
1994-06-03,The Cowboy Way,5.1
1993-11-19,Dangerous Game,5.4
1993-05-07,Dave,6.3
1993-09-24,Dazed and Confused,7.4
1993-10-08,Demolition Man,6.4
1994-06-03,The Endless Summer 2,7.1
1994-05-13,Even Cowgirls Get the Blues,4.2
1993-10-29,Fatal Instinct,5.4
1993-09-16,霸王别姬,7.8
1994-04-29,The Favor,3.3
1993-10-15,Fearless,6.8
1994-10-28,Fear of a Black Hat,5.8
1994-04-29,With Honors,6.1
1993-11-05,Flesh and Bone,6.2
1994-05-13,Widows' Peak,4.3
1993-10-01,For Love or Money,5.7
1993-06-30,The Firm,6.6
1993-07-16,Free Willy,6.0
1994-08-24,Fresh,7.6
1993-08-06,The Fugitive,7.2
1993-12-10,Geronimo: An American Legend,5.9
1994-02-11,The Getaway,5.4
1994-06-17,Getting Even with Dad,4.5
1994-06-10,Go Fish,3.9
1994-07-14,A Good Man in Africa,5.2
1993-06-04,Guilty as Sin,5.6
1993-08-20,Hard Target,6.1
1993-12-24,Heaven & Earth,6.4
1993-05-21,Hot Shots! Part Deux,6.2
1995-12-08,Live Nude Girls,4.7
1995-05-12,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1
1993-10-19,The House of the Spirits,6.7
1994-01-01,House Party 3,4.6
1994-03-11,The Hudsucker Proxy,7.1
1994-02-04,I'll Do Anything,5.7
1994-08-12,In the Army Now,4.7
1993-07-08,In the Line of Fire,6.8
1993-12-12,In the Name of the Father,7.6
1994-04-22,The Inkwell,3.9
1993-06-09,What's Love Got to Do with It,6.9
1994-03-30,Jimmy Hollywood,4.6
1993-10-15,Judgment Night,6.4
1993-06-11,Jurassic Park,7.6
1993-09-01,Kalifornia,6.5
1993-10-01,Killing Zoe,6.1
1993-08-20,King of the Hill,6.4
1994-07-22,Lassie,6.1
1993-06-18,Last Action Hero,6.1
1993-06-04,Life With Mikey,5.1
1994-03-11,Lightning Jack,5.7
1993-09-09,M. Butterfly,6.6
1993-05-27,Made in America,5.3
1993-09-29,Malice,5.9
1993-08-25,The Man without a Face,6.2
1993-08-18,Manhattan Murder Mystery,7.1
1993-05-26,Menace II Society,7.2
1996-03-15,Executive Decision,5.8
1976-05-15,愛のコリーダ,6.5
1994-09-09,What Happened Was...,7.0
1993-05-07,Much Ado About Nothing,7.2
1993-10-08,Mr. Jones,5.9
1993-10-15,Mr. Wonderful,5.5
1993-11-24,Mrs. Doubtfire,7.0
1993-09-14,Naked,7.5
1994-07-18,The Next Karate Kid,4.8
1994-09-16,The New Age,4.8
1994-04-29,No Escape,6.1
1994-07-22,North,4.8
1992-09-01,Orlando,6.7
1993-11-24,A Perfect World,7.2
1993-12-22,Philadelphia,7.6
1993-05-19,The Piano,7.1
1993-07-23,Poetic Justice,6.9
1993-09-24,The Program,6.0
1994-10-21,The Puppet Masters,5.6
1994-10-21,Radioland Murders,5.8
1994-03-09,The Ref,6.7
1993-11-05,The Remains of the Day,7.5
1994-06-03,Renaissance Man,5.9
1993-07-30,Rising Sun,5.8
1994-10-28,The Road to Wellville,5.5
1993-04-17,RoboCop 3,4.2
1993-07-28,Robin Hood: Men in Tights,6.4
1993-09-13,Romeo Is Bleeding,5.7
1992-03-05,Romper Stomper,6.6
1993-10-08,Ruby in Paradise,5.6
1993-09-17,Rudy,7.2
1993-11-03,The Saint of Fort Washington,4.0
1992-08-19,Les Nuits Fauves,6.2
1993-11-29,Schindler's List,8.3
1994-09-30,The Scout,5.3
1993-08-13,Searching for Bobby Fischer,7.3
1994-09-30,Second Best,5.9
1993-08-13,The Secret Garden,7.1
1994-04-13,Serial Mom,6.4
1994-07-01,The Shadow,5.4
1993-12-25,Shadowlands,6.8
1993-09-05,Short Cuts,6.9
1994-09-02,A Simple Twist of Fate,5.7
1993-10-01,Sirens,5.2
1993-12-08,Six Degrees of Separation,6.5
1993-06-24,Sleepless in Seattle,6.5
1993-05-21,Sliver,4.9
1982-06-25,Blade Runner,7.9
1993-07-02,Son in Law,5.6
1993-07-30,So I Married an Axe Murderer,6.1
1993-09-17,Striking Distance,5.4
1985-11-20,Harem,4.0
1993-05-28,Super Mario Bros.,4.0
1994-04-15,Surviving the Game,6.1
1994-09-23,Terminal Velocity,5.0
1993-11-26,Thirty Two Short Films About Glenn Gould,7.4
1994-04-08,Threesome,6.3
1993-10-09,The Nightmare Before Christmas,7.6
1993-11-11,The Three Musketeers,6.2
1993-12-25,Tombstone,7.4
1994-09-09,Trial by Jury,5.5
1993-09-09,True Romance,7.5
1993-12-05,The War Room,7.3
1994-11-23,The Pagemaster,6.2
1994-02-04,"Paris, France",6.0
1994-01-01,"The Beans of Egypt, Maine",0.0
1994-09-14,Killer,3.0
1995-05-24,Welcome to the Dollhouse,6.9
1993-09-29,Germinal,6.3
1994-04-22,Chasers,4.7
1993-09-12,Cronos,6.4
1993-11-10,Naked in New York,4.0
1993-10-28,Kika,6.8
1994-01-21,Bhaji on the Beach,5.1
1994-06-29,Little Big League,6.0
1993-09-24,Kådisbellan,6.2
1993-09-05,Wide Eyed and Legless,0.0
1994-07-29,Foreign Student,0.0
1992-10-01,Io speriamo che me la cavo,7.2
1994-01-15,Spanking the Monkey,5.3
1994-08-05,The Little Rascals,6.3
1993-09-10,À la mode,0.0
1994-08-17,Andre,5.0
1993-01-01,La scorta,5.0
1994-09-16,Princess Caraboo,4.4
1996-01-30,The Celluloid Closet,7.0
1993-01-01,Métisse,6.8
1993-10-12,Caro diario,6.9
1993-05-20,De eso no se habla,6.0
1995-02-16,The Brady Bunch Movie,5.9
1990-11-09,Home Alone,7.1
1990-07-12,Ghost,6.9
1992-11-25,Aladdin,7.4
1991-07-01,Terminator 2: Judgment Day,7.7
1990-11-09,Dances with Wolves,7.6
1995-02-14,Tough and Deadly,6.3
1989-06-23,Batman,7.0
1991-02-01,The Silence of the Lambs,8.1
1937-12-20,Snow White and the Seven Dwarfs,6.9
1991-11-13,Beauty and the Beast,7.5
1940-02-23,Pinocchio,6.9
1990-03-23,Pretty Woman,7.0
1993-12-01,Окно в Париж,6.0
1969-06-17,The Wild Bunch,7.7
1994-11-23,Love and a .45,5.5
1994-02-05,The Wooden Man's Bride,6.5
1994-09-27,A Great Day in Harlem,7.0
1995-03-16,Bye Bye Love,6.1
1996-12-20,One Fine Day,6.1
1995-03-17,Candyman: Farewell to the Flesh,5.0
1993-12-31,Century,5.0
1996-04-05,Fargo,7.7
1996-03-08,Homeward Bound II: Lost in San Francisco,6.0
1981-08-07,Heavy Metal,6.3
1996-03-08,Hellraiser: Bloodline,4.9
1996-05-03,The Pallbearer,4.6
1996-02-09,Jane Eyre,7.1
1996-04-12,Loaded,4.0
1974-05-05,Pane e cioccolata,7.1
1970-12-23,The Aristocats,7.1
1995-09-22,La flor de mi secreto,6.9
1996-02-14,Two Much,5.1
1996-03-15,Ed,3.6
1991-01-01,Schrei aus Stein,7.5
1993-05-14,Ma saison préférée,6.4
1996-09-06,A Modern Affair,5.0
1995-12-08,Condition Red,4.7
1990-01-01,Asfour Stah,7.4
1996-04-04,A Thin Line Between Love and Hate,5.7
1995-09-08,The Last Supper,6.5
1996-04-03,Primal Fear,7.4
1995-09-08,Rude,6.0
1996-01-26,Carried Away,5.4
1996-03-29,All Dogs Go to Heaven 2,5.0
1995-01-01,Land and Freedom,7.0
1995-05-17,Denise Calls Up,6.6
1995-12-14,Theodore Rex,3.6
1996-03-29,A Family Thing,5.6
1996-03-22,Frisk,3.0
1996-03-29,Sgt. Bilko,5.5
1995-06-02,Jack & Sarah,5.1
1996-03-22,Girl 6,5.7
1996-03-22,Diabolique,5.4
1994-12-14,Un indien dans la ville,6.0
1995-09-11,Roula - Dunkle Geheimnisse,5.0
1996-03-21,Peanuts – Die Bank zahlt alles,4.0
1996-03-14,Happy Weekend,0.0
1996-04-12,Nelly & Monsieur Arnaud,7.1
1996-07-04,Courage Under Fire,6.2
1996-05-22,Mission: Impossible,6.7
1995-02-10,Á köldum klaka,7.7
1996-06-14,Moll Flanders,6.2
1996-03-06,Das Superweib,5.3
1995-04-22,삼공일 삼공이,6.2
1996-05-31,DragonHeart,6.4
1996-02-29,Und keiner weint mir nach,0.0
1995-09-12,My Mother's Courage,0.0
1996-05-31,Eddie,5.4
1993-12-01,Yankee Zulu,6.0
1995-07-26,Billy's Holiday,0.0
1960-03-10,Plein soleil,7.3
1996-08-08,August,5.3
1996-04-12,James and the Giant Peach,6.2
1996-04-12,Fear,6.1
1996-04-02,Kids in the Hall: Brain Candy,5.9
1996-04-03,Faithful,4.8
1995-04-11,Podzemlje,7.5
1995-03-08,Lust och fägring stor,6.1
1996-03-01,Bloodsport II,5.2
1955-08-26,পথের পাঁচালী,7.9
1959-05-01,অপুর সংসার,8.2
1996-04-19,Mystery Science Theater 3000: The Movie,7.0
1996-03-15,Tarantella,0.0
1996-11-15,Space Jam,6.5
1968-10-10,Barbarella,5.7
1995-01-01,Hostile Intentions,8.0
1996-01-01,They Bite,5.5
1994-03-26,Some Folks Call It a Sling Blade,7.5
1995-09-22,The Run of the Country,8.0
1965-05-05,"Alphaville, une étrange aventure de Lemmy Caution",6.8
1981-11-04,Coup de torchon,6.8
1994-01-01,Tigrero: A Film That Was Never Made,7.5
1993-05-20,L'oeil de Vichy,0.0
1980-01-18,Windows,5.8
1996-03-22,It's My Party,6.2
1994-10-27,Country Life,8.0
1995-07-28,Operation Dumbo Drop,4.7
1995-02-16,Das Versprechen,5.0
1996-04-19,Mrs. Winterbourne,5.5
1996-10-23,Solo,3.9
1994-01-01,Etz Hadomim Tafus,6.5
1996-04-19,The Substitute,5.8
1996-03-12,True Crime,5.1
1995-08-18,Butterfly Kiss,7.4
1996-09-13,Feeling Minnesota,5.5
1995-06-09,Delta of Venus,3.3
1991-01-01,To Cross the Rubicon,0.0
1995-09-15,Angus,6.8
1992-09-01,Daens,6.7
1968-11-24,Faces,7.1
1996-05-10,Boys,5.3
1996-04-19,The Quest,5.3
1996-03-04,Cosi,7.1
1996-04-26,Sunset Park,5.1
1996-04-26,Mulholland Falls,6.2
1996-04-26,The Truth About Cats & Dogs,5.7
1988-11-18,Oliver & Company,6.5
1996-04-19,Celtic Pride,4.9
1996-05-17,Flipper,5.3
1994-05-03,Captives,6.0
1994-05-10,Of Love and Shadows,4.4
1995-12-23,Dead Man,7.2
1995-09-20,Le Hussard sur le toit,6.7
1975-01-05,Switchblade Sisters,6.6
1995-11-10,Boca a boca,5.5
1993-01-27,Les visiteurs,7.1
1996-07-19,Multiplicity,5.5
1996-05-01,"The Haunted World of Edward D. Wood, Jr.",10.0
2002-03-20,Due Amici,0.0
1996-05-03,The Craft,6.3
1996-05-03,The Great White Hype,5.1
1996-05-02,Last Dance,5.6
,War Stories Our Mother Never Told Us,0.0
1995-01-01,Cold Comfort Farm,7.0
1995-08-01,"Institute Benjamenta, or This Dream People Call Human Life",7.7
1996-05-17,Heaven's Prisoners,5.0
1996-05-10,Original Gangstas,5.5
1996-06-06,The Rock,6.9
